contractSymbol,error
MSFT210115C00050000,-5.967681534851637e-05
MSFT210115C00055000,-0.0002020390693947415
MSFT210115C00060000,-0.0007327720042078608
MSFT210115C00065000,-2.823281318494006e-05
MSFT210115C00070000,-0.0003559757206240265
MSFT210115C00075000,-0.0003315265665979695
MSFT210115C00080000,-0.0014295118399203762
MSFT210115C00085000,-0.0034950143132312394
MSFT210115C00090000,-0.008236935887526038
MSFT210115C00092500,-0.008459054174451619
MSFT210115C00095000,-0.013866055722345148
MSFT210115C00097500,-0.016762708678712507
MSFT210115C00100000,-0.052048673105154965
MSFT210115C00105000,-0.03871350513904793
MSFT210115C00110000,-0.05170124523933542
MSFT210115C00115000,-0.08114127532071691
MSFT210115C00120000,-0.11414016210110639
MSFT210115C00125000,-0.17194227386049307
MSFT210115C00130000,-0.21576910069081306
MSFT210115C00135000,-0.28492889624941664
MSFT210115C00140000,-0.3620920012874321
MSFT210115C00145000,-0.3957312261065392
MSFT210115C00150000,-0.475302116597246
MSFT210115C00155000,-0.5822782529647986
MSFT210115C00160000,-0.645126791375223
MSFT210115C00165000,-0.6589733961715506
MSFT210115C00170000,-0.7165398841360627
MSFT210115C00175000,-0.7816521815826838
MSFT210115C00180000,-0.8430007670264033
MSFT210115C00185000,-0.8940086853572041
MSFT210115C00190000,-0.907986295583121
MSFT210115C00195000,-0.9475096347018325
MSFT210115C00197500,-0.9450126740258931
MSFT210115C00200000,-0.9666955511475279
MSFT210115C00202500,-0.9749071148091093
MSFT210115C00205000,-1.027783778082556
MSFT210115C00207500,-0.9943707850114005
MSFT210115C00210000,-1.0683356546015557
MSFT210115C00212500,-1.0516535760128987
MSFT210115C00215000,-1.032449442978945
MSFT210115C00217500,-1.0097653226142587
MSFT210115C00220000,-1.002144560414525
MSFT210115C00222500,-1.0002230536799692
MSFT210115C00225000,-1.0000120440120877
MSFT210115C00227500,-1.0000003237631705
MSFT210115C00230000,-1.0000000109016836
MSFT210115C00232500,-1.0000000001687932
MSFT210115C00235000,-1.0000000000033336
MSFT210115C00237500,-1.0000000000003364
MSFT210115C00240000,-1.0000000000000007
MSFT210115C00242500,-1.0000000000000002
MSFT210115C00245000,-1.0
MSFT210115C00250000,-1.0
MSFT210115C00255000,-1.0
MSFT210115C00260000,-1.0
MSFT210115C00265000,-1.0
MSFT210115C00270000,-1.0
MSFT210115C00275000,-0.9999999999999983
MSFT210115C00280000,-1.0
MSFT210115C00285000,-1.0
MSFT210115C00290000,-1.0
MSFT210115C00295000,-1.0
MSFT210115C00300000,-1.0
MSFT210115C00305000,-1.0
MSFT210115C00310000,-1.0
MSFT210115C00315000,-1.0
MSFT210115C00320000,-1.0
MSFT210115C00325000,-1.0
MSFT210122C00177500,-0.5490316376869705
MSFT210122C00180000,-0.6526913029355351
MSFT210122C00182500,-0.7222216683167971
MSFT210122C00185000,-0.7041712181056301
MSFT210122C00187500,-0.6719246494397817
MSFT210122C00190000,-0.7529788146672776
MSFT210122C00192500,-0.8051951441814309
MSFT210122C00195000,-0.8085070844336241
MSFT210122C00197500,-0.8428278590984393
MSFT210122C00200000,-0.8980401255841814
MSFT210122C00202500,-0.9276552380000541
MSFT210122C00205000,-0.9634695946810262
MSFT210122C00207500,-0.9691053676839335
MSFT210122C00210000,-0.990505782398576
MSFT210122C00212500,-1.0051143582476334
MSFT210122C00215000,-1.0071179899378198
MSFT210122C00217500,-1.0056010262545143
MSFT210122C00220000,-1.0029840993576549
MSFT210122C00222500,-1.0010418214332015
MSFT210122C00225000,-1.0002391156327317
MSFT210122C00227500,-1.0000434534377733
MSFT210122C00230000,-1.0000078901340974
MSFT210122C00232500,-1.000000863896006
MSFT210122C00235000,-1.0000001026714607
MSFT210122C00237500,-1.0000000070313464
MSFT210122C00240000,-1.0000000001216487
MSFT210122C00242500,-0.9999999998741838
MSFT210122C00245000,-0.9999999999621552
MSFT210122C00247500,-0.9999999999536453
MSFT210122C00250000,-0.9999999999901676
MSFT210122C00252500,-0.9999999999911081
MSFT210122C00255000,-0.9999999999989768
MSFT210122C00257500,-0.999999999999102
MSFT210129C00177500,-0.4120816086069791
MSFT210129C00180000,-0.3882655889973228
MSFT210129C00182500,-0.4310432816963112
MSFT210129C00185000,-0.45230716078410826
MSFT210129C00187500,-0.5552811965424113
MSFT210129C00190000,-0.5529913602316344
MSFT210129C00192500,-0.6103701131225836
MSFT210129C00195000,-0.6047397276050572
MSFT210129C00197500,-0.6888402588777501
MSFT210129C00200000,-0.72343599565496
MSFT210129C00202500,-0.7690331830558116
MSFT210129C00205000,-0.7952813151618591
MSFT210129C00207500,-0.8422065559830643
MSFT210129C00210000,-0.87317165641822
MSFT210129C00212500,-0.9100810555480738
MSFT210129C00215000,-0.9350480216399907
MSFT210129C00217500,-0.9562476040598937
MSFT210129C00220000,-0.9729125761045717
MSFT210129C00222500,-0.9841582994073831
MSFT210129C00225000,-0.9913158489667784
MSFT210129C00227500,-0.9958617728088768
MSFT210129C00230000,-0.9981410207742728
MSFT210129C00232500,-0.9992395633234752
MSFT210129C00235000,-0.9997190496582512
MSFT210129C00237500,-0.9998890761690873
MSFT210129C00240000,-0.999965891828591
MSFT210129C00242500,-0.9999836338128639
MSFT210129C00245000,-0.9999956063517955
MSFT210129C00247500,-0.9999979687291928
MSFT210129C00250000,-0.9999994305009214
MSFT210129C00252500,-0.9999996949874598
MSFT210129C00255000,-0.9999999475469132
MSFT210129C00257500,-0.9999999511962822
MSFT210205C00180000,-0.19836116276559476
MSFT210205C00185000,-0.2617700750059957
MSFT210205C00187500,-0.25052444928434353
MSFT210205C00190000,-0.32079172094954894
MSFT210205C00195000,-0.3872594873521091
MSFT210205C00197500,-0.40803199649543626
MSFT210205C00200000,-0.4685215761993492
MSFT210205C00202500,-0.5927965602427893
MSFT210205C00205000,-0.6049962939087852
MSFT210205C00207500,-0.6455012149627377
MSFT210205C00210000,-0.6782270579697772
MSFT210205C00212500,-0.735523305265663
MSFT210205C00215000,-0.7842210340479443
MSFT210205C00217500,-0.8301979076598045
MSFT210205C00220000,-0.8748270572218807
MSFT210205C00222500,-0.9091810978047439
MSFT210205C00225000,-0.9379896446214685
MSFT210205C00227500,-0.9585918610963728
MSFT210205C00230000,-0.9743480644553792
MSFT210205C00232500,-0.9857247713400652
MSFT210205C00235000,-0.9917553183351445
MSFT210205C00237500,-0.9958272554483343
MSFT210205C00240000,-0.9979990000097919
MSFT210205C00242500,-0.9991369444476598
MSFT210205C00245000,-0.9994969763233837
MSFT210205C00247500,-0.9997667114738749
MSFT210205C00250000,-0.999900656936082
MSFT210205C00252500,-0.9999648843976984
MSFT210205C00255000,-0.9999787678743282
MSFT210205C00257500,-0.9999879606255767
MSFT210212C00190000,-0.17411164233234067
MSFT210212C00195000,-0.22346548308400263
MSFT210212C00197500,-0.25560663225017904
MSFT210212C00200000,-0.2762814603006432
MSFT210212C00202500,-0.32117452595930407
MSFT210212C00205000,-0.3160412294599129
MSFT210212C00207500,-0.41871965732338906
MSFT210212C00210000,-0.4549680979564556
MSFT210212C00212500,-0.5059625798991947
MSFT210212C00215000,-0.5619276646351743
MSFT210212C00217500,-0.6147289849681226
MSFT210212C00220000,-0.6706501618222024
MSFT210212C00222500,-0.7344650750962827
MSFT210212C00225000,-0.7872295247771506
MSFT210212C00227500,-0.8459736956900809
MSFT210212C00230000,-0.8791337513094066
MSFT210212C00232500,-0.9153138692369499
MSFT210212C00235000,-0.9483484832372412
MSFT210212C00237500,-0.9618290661682288
MSFT210212C00240000,-0.9772214440598201
MSFT210212C00242500,-0.9861233641575758
MSFT210212C00245000,-0.9920328618082558
MSFT210212C00247500,-0.9950111431956562
MSFT210212C00250000,-0.996467755659048
MSFT210212C00255000,-0.9990711317252753
MSFT210219C00115000,-0.007309056635583637
MSFT210219C00120000,-0.012666623230896514
MSFT210219C00125000,-0.013853560777581668
MSFT210219C00130000,-0.014192809336944624
MSFT210219C00135000,-0.017822607478873927
MSFT210219C00140000,-0.008185694922977342
MSFT210219C00145000,-0.024630068499160208
MSFT210219C00150000,-0.026752574189513222
MSFT210219C00155000,-0.03556098234313465
MSFT210219C00160000,-0.03236768142889294
MSFT210219C00165000,-0.031021917754197288
MSFT210219C00170000,-0.044545890999184115
MSFT210219C00175000,-0.04938005441770296
MSFT210219C00180000,-0.06134945479727489
MSFT210219C00185000,-0.07962816526859845
MSFT210219C00190000,-0.09620028967191893
MSFT210219C00195000,-0.13195601043161972
MSFT210219C00200000,-0.16452416591253413
MSFT210219C00205000,-0.20666792141331855
MSFT210219C00210000,-0.2627976706363562
MSFT210219C00215000,-0.34083104559328026
MSFT210219C00220000,-0.43588414833562256
MSFT210219C00225000,-0.5586194313420345
MSFT210219C00230000,-0.6853349828968538
MSFT210219C00235000,-0.8012978438854063
MSFT210219C00240000,-0.892423692930687
MSFT210219C00245000,-0.9478926234813277
MSFT210219C00250000,-0.9760654485266113
MSFT210219C00255000,-0.990767495983342
MSFT210219C00260000,-0.9959824613095142
MSFT210219C00265000,-0.9978400808738607
MSFT210219C00270000,-0.9992237096795618
MSFT210219C00275000,-0.9996211257131121
MSFT210219C00280000,-0.9997784911415714
MSFT210219C00285000,-0.9999265438108951
MSFT210219C00290000,-0.9999452618575994
MSFT210219C00295000,-0.9999860804060223
MSFT210219C00300000,-0.9999805722129828
MSFT210219C00305000,-0.9999905952177541
MSFT210219C00310000,-0.9999874434542871
MSFT210219C00315000,-0.9999949663874533
MSFT210219C00320000,-0.9999997328141522
MSFT210219C00325000,-0.9999997138831581
